,model,epochs,batch_size,initial_lr,fold,train_examples,sampling,train_time,test_time,filename,f1,precision,recall,bal_acc
83,BernoulliNB,,,,3,,NONE,0.36182355880737305,0.0767822265625,,0.17951066615579353,0.20643226373544454,0.24038433365785314,0.24038433365785314
84,GaussianNB,,,,3,,NONE,0.24430203437805176,0.12169575691223145,,0.042349039705946404,0.17356120711892367,0.16976303798675904,0.16976303798675904
85,KNeighborsClassifier,,,,3,,NONE,4.354550123214722,159.91554141044617,,0.6736768119756353,0.7336648110768376,0.629217579715565,0.629217579715565
86,NearestCentroid,,,,3,,NONE,0.061567068099975586,0.018759489059448242,,0.15456874568476958,0.18072108134729764,0.20967662327890804,0.20967662327890804
87,DecisionTreeClassifier,,,,3,,NONE,78.37646985054016,0.006449222564697266,,0.8337302280481279,0.8316744602885235,0.8359996302950762,0.8359996302950762
88,AdaBoostClassifier,,,,3,,NONE,165.31616067886353,0.1824660301208496,,0.13336670090103836,0.32942071055404915,0.14983051227577754,0.14983051227577754
89,LGBM,,,,3,,NONE,40.92370867729187,0.11619019508361816,,0.5755928227310554,0.9444115156051026,0.4580031555810142,0.4580031555810142
90,PassiveAggressiveClassifier,,,,3,,SMOTE,27.351492166519165,0.01360774040222168,,0.14942042724100868,0.20783531982774356,0.2553349916575006,0.2553349916575006
91,Perceptron,,,,3,,SMOTE,15.874857187271118,0.013614177703857422,,0.12466046810428776,0.22761869368193874,0.20527944133014994,0.20527944133014994
92,RidgeClassifier,,,,3,,SMOTE,1.7879722118377686,0.0074388980865478516,,0.2543189562884443,0.2550387300007341,0.37146938621272146,0.37146938621272146
93,SGDClassifier,,,,3,,SMOTE,337.25278425216675,0.013843059539794922,,0.189583128557227,0.24552324412225843,0.29948718338929703,0.29948718338929703
94,LogisticRegression,,,,3,,SMOTE,97.40226030349731,0.028099775314331055,,0.22052293246971882,0.23526925928138073,0.34782996484285683,0.34782996484285683
95,LinearDiscriminantAnalysis,,,,3,,SMOTE,43.968568563461304,0.08794665336608887,,0.25800232911079213,0.2528845651616009,0.37779180986034566,0.37779180986034566
96,QuadraticDiscriminantAnalysis,,,,3,,SMOTE,37.547823429107666,0.5584142208099365,,0.33702412951960786,0.33117822495569393,0.5462344933627299,0.5462344933627299
97,BernoulliNB,,,,3,,SMOTE,2.030592203140259,0.10932540893554688,,0.16431275468801015,0.20176392063219348,0.25643772068076387,0.25643772068076387
98,GaussianNB,,,,3,,SMOTE,1.2347908020019531,0.13381528854370117,,0.04522312212739743,0.17392307080890296,0.17396745572588035,0.17396745572588035
99,KNeighborsClassifier,,,,3,,SMOTE,34.23833894729614,441.1417212486267,,0.5778256623077486,0.49007049540289954,0.8414226657026317,0.8414226657026317
100,NearestCentroid,,,,3,,SMOTE,0.30321812629699707,0.025106191635131836,,0.1547201820852622,0.18511225951548052,0.20903117650593192,0.20903117650593192
101,DecisionTreeClassifier,,,,3,,SMOTE,288.04237961769104,0.007288217544555664,,0.7734931941939722,0.7219142904098963,0.8390732478152009,0.8390732478152009
102,AdaBoostClassifier,,,,3,,SMOTE,1003.0598056316376,0.19156098365783691,,0.20289530456558919,0.2176006701107826,0.287041478739024,0.287041478739024
103,LGBM,,,,3,,SMOTE,187.9026641845703,0.12016105651855469,,0.5315169573312134,0.46523072894254647,0.6682008755111147,0.6682008755111147
104,PassiveAggressiveClassifier,,,,4,,NONE,6.328914403915405,0.01343393325805664,,0.14394271591471988,0.43089226886178494,0.15474502200657464,0.15474502200657464
105,Perceptron,,,,4,,NONE,2.597487688064575,0.014298200607299805,,0.17048903014902314,0.3263951616281731,0.24559230466986967,0.24559230466986967
106,RidgeClassifier,,,,4,,NONE,0.5577924251556396,0.06927680969238281,,0.14996125121678003,0.26230925685319495,0.1580211534063389,0.1580211534063389
107,SGDClassifier,,,,4,,NONE,30.799386024475098,0.013671398162841797,,0.2003625012871466,0.33436429538493845,0.24813459598480891,0.24813459598480891
108,LogisticRegression,,,,4,,NONE,17.818108558654785,0.021469593048095703,,0.21513570656354317,0.2804440896896778,0.20377928549212534,0.20377928549212534
109,LinearDiscriminantAnalysis,,,,4,,NONE,7.18791389465332,0.019060850143432617,,0.2565292510208231,0.4001135496913892,0.23328684614820322,0.23328684614820322
110,QuadraticDiscriminantAnalysis,,,,4,,NONE,4.049191474914551,0.23754620552062988,,0.34312322130382167,0.36670839613774586,0.6092461300711014,0.6092461300711014
111,BernoulliNB,,,,4,,NONE,0.3586282730102539,0.0701904296875,,0.18214413971634852,0.2151468928260948,0.2536829339916236,0.2536829339916236
112,GaussianNB,,,,4,,NONE,0.237473726272583,0.11826443672180176,,0.04944688484626617,0.17761562120618996,0.1787819350652065,0.1787819350652065
113,KNeighborsClassifier,,,,4,,NONE,4.226241588592529,157.2460584640503,,0.6994795084036299,0.7539369418877107,0.6574655004991626,0.6574655004991626
114,NearestCentroid,,,,4,,NONE,0.06161761283874512,0.018743038177490234,,0.16236482568186333,0.19248842834384378,0.23297055302568287,0.23297055302568287
115,DecisionTreeClassifier,,,,4,,NONE,78.54612851142883,0.0064198970794677734,,0.8345628957517975,0.8256492954825296,0.8442767570038594,0.8442767570038594
116,AdaBoostClassifier,,,,4,,NONE,162.51337456703186,0.18089723587036133,,0.1300052685513336,0.26433623855149124,0.14786102432871134,0.14786102432871134
117,LGBM,,,,4,,NONE,40.802417278289795,0.11460423469543457,,0.5883338407463103,0.9362710785573254,0.4728799922560727,0.4728799922560727
118,PassiveAggressiveClassifier,,,,4,,SMOTE,28.625365018844604,0.013553857803344727,,0.1503131748471655,0.21661613237342522,0.24659944339386608,0.24659944339386608
119,Perceptron,,,,4,,SMOTE,21.7445650100708,0.013620615005493164,,0.20595180946348404,0.257814590855835,0.2928430461610883,0.2928430461610883
120,RidgeClassifier,,,,4,,SMOTE,1.843315839767456,0.007235050201416016,,0.2537823077049221,0.25349907088920987,0.37190602181284854,0.37190602181284854
121,SGDClassifier,,,,4,,SMOTE,296.42760252952576,0.013686418533325195,,0.1988447864627815,0.24353062235732786,0.33423677057098666,0.33423677057098666
122,LogisticRegression,,,,4,,SMOTE,80.08595132827759,0.02483963966369629,,0.21464906929896674,0.23121674101786602,0.3410908195667289,0.3410908195667289
123,LinearDiscriminantAnalysis,,,,4,,SMOTE,38.83648681640625,0.02066802978515625,,0.2545003575530091,0.2507876789785657,0.3718684128697188,0.3718684128697188
124,QuadraticDiscriminantAnalysis,,,,4,,SMOTE,22.848609447479248,0.41143012046813965,,0.33941414470590353,0.3320109311777774,0.5569981159348318,0.5569981159348318
125,BernoulliNB,,,,4,,SMOTE,1.6419298648834229,0.07612490653991699,,0.1604024846988001,0.19816884108658717,0.25793218189396755,0.25793218189396755
126,GaussianNB,,,,4,,SMOTE,1.0522470474243164,0.11663317680358887,,0.05057797759610531,0.17774314604254288,0.17716858116065978,0.17716858116065978
127,KNeighborsClassifier,,,,4,,SMOTE,31.03211736679077,446.40163230895996,,0.5758833735462423,0.48879916676809476,0.8470348987213131,0.8470348987213131
128,NearestCentroid,,,,4,,SMOTE,0.29576659202575684,0.01911640167236328,,0.1652424840244619,0.19839547158329426,0.23495348363454158,0.23495348363454158
129,DecisionTreeClassifier,,,,4,,SMOTE,266.2664716243744,0.00543212890625,,0.7812027757815425,0.7284418181858628,0.8496452179916264,0.8496452179916264
130,AdaBoostClassifier,,,,4,,SMOTE,969.0498476028442,0.18154025077819824,,0.20409679408597747,0.22034307992656724,0.29701943082961174,0.29701943082961174
131,LGBM,,,,4,,SMOTE,188.20811820030212,0.12009549140930176,,0.5410826239042685,0.4721286363603986,0.6923501519458686,0.6923501519458686
132,PassiveAggressiveClassifier,,,,5,,NONE,5.9914045333862305,0.013492345809936523,,0.12860432421310258,0.4378596704004552,0.14711338590446688,0.14711338590446688
133,Perceptron,,,,5,,NONE,3.6490259170532227,0.013575553894042969,,0.16584105907159066,0.3061989808879962,0.18725409073171054,0.18725409073171054
134,RidgeClassifier,,,,5,,NONE,0.4454934597015381,0.013712644577026367,,0.14559922877424047,0.26161171938886246,0.15574953184860305,0.15574953184860305
135,SGDClassifier,,,,5,,NONE,39.2615807056427,0.013742446899414062,,0.22882825887161196,0.2574399487077758,0.2347730668863882,0.2347730668863882
136,LogisticRegression,,,,5,,NONE,17.236448526382446,0.021518468856811523,,0.19222217709855532,0.29322803687983,0.18317613721363113,0.18317613721363113
137,LinearDiscriminantAnalysis,,,,5,,NONE,7.149522304534912,0.018915653228759766,,0.2352250549959331,0.3631681499967477,0.21665836925229892,0.21665836925229892
138,QuadraticDiscriminantAnalysis,,,,5,,NONE,4.051828622817993,0.23415374755859375,,0.3516957177255264,0.37574748136309316,0.6091108531426307,0.6091108531426307
139,BernoulliNB,,,,5,,NONE,0.355130672454834,0.06973838806152344,,0.18448446260393578,0.21528482172794947,0.2538792406931453,0.2538792406931453
140,GaussianNB,,,,5,,NONE,0.23725414276123047,0.11718273162841797,,0.046980285273657385,0.17724097794595509,0.17722156656735408,0.17722156656735408
141,KNeighborsClassifier,,,,5,,NONE,4.221676826477051,156.7478687763214,,0.6903565939055133,0.7506701783413854,0.6444688456615812,0.6444688456615812
142,NearestCentroid,,,,5,,NONE,0.06147289276123047,0.01881718635559082,,0.15639741732843793,0.19559857300940742,0.21546545103118322,0.21546545103118322
143,DecisionTreeClassifier,,,,5,,NONE,76.26040267944336,0.0063211917877197266,,0.8446483545909895,0.8383253476034346,0.8513556396119254,0.8513556396119254
144,AdaBoostClassifier,,,,5,,NONE,163.2923355102539,0.1804955005645752,,0.1288238154289624,0.417440345122006,0.1474252739386789,0.1474252739386789
145,LGBM,,,,5,,NONE,40.56709003448486,0.11564135551452637,,0.5819916025663214,0.9297393492097826,0.4690040958151092,0.4690040958151092
146,PassiveAggressiveClassifier,,,,5,,SMOTE,25.27967071533203,0.013635635375976562,,0.1208519220270667,0.207827322426381,0.25045366142462205,0.25045366142462205
147,Perceptron,,,,5,,SMOTE,15.256382942199707,0.013530492782592773,,0.1444924069932972,0.22008321093114275,0.2214331222306618,0.2214331222306618
148,RidgeClassifier,,,,5,,SMOTE,1.8083877563476562,0.0074770450592041016,,0.25567770787342986,0.2554492387135893,0.37317425183255815,0.37317425183255815
149,SGDClassifier,,,,5,,SMOTE,337.1348259449005,0.01360321044921875,,0.22538941992521513,0.2749304334709688,0.31465727581311925,0.31465727581311925
150,LogisticRegression,,,,5,,SMOTE,75.37851452827454,0.023970842361450195,,0.2134234732131333,0.2306273383975202,0.33449483545556846,0.33449483545556846
151,LinearDiscriminantAnalysis,,,,5,,SMOTE,38.20499873161316,0.016239404678344727,,0.2586373599072249,0.2538552318390967,0.3790060758841141,0.3790060758841141
152,QuadraticDiscriminantAnalysis,,,,5,,SMOTE,22.82021689414978,0.3968374729156494,,0.344942978687946,0.33851104126393355,0.5571473852742264,0.5571473852742264
153,BernoulliNB,,,,5,,SMOTE,1.6668059825897217,0.07959651947021484,,0.16556836867944869,0.20219641649996026,0.26492193158198146,0.26492193158198146
154,GaussianNB,,,,5,,SMOTE,1.065370798110962,0.11774158477783203,,0.04928255357013529,0.17899106570079995,0.1803278719013425,0.1803278719013425
155,KNeighborsClassifier,,,,5,,SMOTE,31.071624517440796,444.72661232948303,,0.5784601119404095,0.4898644414744582,0.8483105296676727,0.8483105296676727
156,NearestCentroid,,,,5,,SMOTE,0.2985212802886963,0.019205093383789062,,0.1567518415705327,0.19498113845797146,0.21636062179786433,0.21636062179786433
157,DecisionTreeClassifier,,,,5,,SMOTE,262.6561574935913,0.005492687225341797,,0.7815427057295119,0.7242420141491424,0.8556671957049298,0.8556671957049298
158,AdaBoostClassifier,,,,5,,SMOTE,966.3263618946075,0.18300366401672363,,0.20176133292890994,0.2185460577777989,0.2974395508617871,0.2974395508617871
159,LGBM,,,,5,,SMOTE,187.59377670288086,0.12409424781799316,,0.5368418951813265,0.46752370180959,0.6850008943126342,0.6850008943126342
160,PassiveAggressiveClassifier,,,,6,,NONE,5.852272033691406,0.013595819473266602,,0.16214552823109582,0.39376245354133227,0.1845759765263309,0.1845759765263309
161,Perceptron,,,,6,,NONE,3.84562087059021,0.013553857803344727,,0.138756476531009,0.30140122984825696,0.15260387490183105,0.15260387490183105
162,RidgeClassifier,,,,6,,NONE,0.4250986576080322,0.007410526275634766,,0.1458660584026228,0.24642813838049268,0.15563499042983317,0.15563499042983317
163,SGDClassifier,,,,6,,NONE,33.12736487388611,0.01357126235961914,,0.24294607993331105,0.28222949574679085,0.2771379133761618,0.2771379133761618
164,LogisticRegression,,,,6,,NONE,18.569714546203613,0.021200180053710938,,0.2027300371597924,0.2527745267442058,0.19508732734075343,0.19508732734075343
165,LinearDiscriminantAnalysis,,,,6,,NONE,7.301253795623779,0.0170137882232666,,0.24248088779481483,0.351000915679455,0.2233705914572059,0.2233705914572059
166,QuadraticDiscriminantAnalysis,,,,6,,NONE,4.051892280578613,0.23933625221252441,,0.3539807090310492,0.3808828599964915,0.6070915209396618,0.6070915209396618
167,BernoulliNB,,,,6,,NONE,0.36476659774780273,0.07400012016296387,,0.17271727630511322,0.1955105096765115,0.234385617987692,0.234385617987692
168,GaussianNB,,,,6,,NONE,0.24046540260314941,0.12041115760803223,,0.044063716804602034,0.17345045928050226,0.17722138884787716,0.17722138884787716
169,KNeighborsClassifier,,,,6,,NONE,4.295520305633545,155.093585729599,,0.6870759352396212,0.7415849493502346,0.6443550239153151,0.6443550239153151
